Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime
PI040298AA3I003837,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_0wmxrc70,2017-11-24T11:02:25.000Z,2019-05-21T10:02:19.000Z
PI040298AA3I001625,25.855,40.888,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fje20wzm,2017-11-24T10:41:57.000Z,2019-08-28T05:30:46.000Z
PI040298AA3J020843,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_r41d5090,2017-12-02T10:22:18.000Z,2019-05-29T09:58:11.000Z
PI040298AA3I003322,25.855,40.888,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_43qrdbxw,2017-11-24T10:31:36.000Z,2019-05-21T09:53:34.000Z
PI040298AA3I001785,25.853,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_xn67y732,2017-11-23T09:55:43.000Z,2019-02-14T10:01:59.000Z
PI040298AA3L039443,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_a1p061h6,2017-11-30T09:01:28.000Z,2019-08-21T07:46:20.000Z
PI040298AA3I003285,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fce2pjtk,2017-11-30T09:05:05.000Z,2018-03-03T09:47:50.000Z
PI040298AA3I003474,25.852,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_xcsxg1wb,2017-11-22T10:49:10.000Z,2019-05-22T09:47:29.000Z
PI040298AA3L037195,25.851,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_zmqpfs7f,2017-11-15T10:11:10.000Z,2019-10-30T11:35:55.000Z
PI040297AD5J210431,25.852,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_0j1g6k7t,2017-11-16T09:57:53.000Z,2019-09-06T10:42:50.000Z
PI040298AA3I002874,25.851,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_g068t0fs,2017-11-15T09:58:20.000Z,2019-09-06T10:37:17.000Z
"PI040298AA3I001547. FuturePractice:,Id:408,LandCoverOverlay:,LandCoverTypes:[Additional:[Fruiting shrubs (incl. grapevines)],Cover:76-90%,Id:4055,Name:Shrubs,Additional:[],Cover:76-90%,Id:4056,Name:Vegetables and crops, herbs and ornamentals,Additional:[],Cover:> 91%,Id:4057,Name:Other ground covering plants (weeds, grasses),Additional:[],Cover:76-90%,Id:4058,Name:Mulched ground],LandManagement:,LandUseArea:Cultivated, agricultural land,LandUseSpot:Orchard,Latitude:40.889946,Longitude:25.8513336,ParcelSize:1  5 ha,Photos:,SensorId:AXD_KCH_AF9,SensorMissionManagement:true,SensorOnMulchedGround:true,SensorOvergrown:true,SensorShadedByTrees:true,SlopeAspect:,SlopePosition:Shoulder,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-11-20T10:40:55.967435+00:",25.851,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_0srkxe23,2017-11-16T10:29:38.000Z,2018-04-30T16:24:37.000Z
PI040298AA3I002892,25.855,40.888,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_6jty48mq,2017-11-24T10:49:14.000Z,2019-05-21T09:54:44.000Z
PI040298AA4A044652,25.855,40.888,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_4hpyyyb8,2017-11-24T10:37:22.000Z,2019-08-28T05:58:34.000Z
PI040298AA3J009613,25.852,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5rfs4y7n,2017-11-22T11:01:30.000Z,2019-08-19T10:38:20.000Z
PI040298AA3J010364,25.853,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_2t3ep8gm,2017-11-23T10:22:02.000Z,2019-05-22T09:49:08.000Z
PI040298AA3I000889,25.852,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_bch5cgrg,2017-11-22T09:20:13.000Z,2019-10-25T09:51:07.000Z
PI040298AA4A042725,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7swhp7rj,2017-11-30T08:58:09.000Z,2019-03-22T09:18:35.000Z
PI040298AA3I000663,25.855,40.888,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_68x3rhdq,2017-11-24T11:06:52.000Z,2018-12-03T08:51:13.000Z
PI040298AA3I001199,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_j5ehdm60,2017-12-02T10:28:51.000Z,2019-05-29T09:55:41.000Z
PI040298AA3I004655,25.852,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_p4636ynm,2017-11-22T09:45:19.000Z,2018-11-13T08:19:02.000Z
PI040298AA3I003402,25.861,40.904,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_gg7qkv4e,2017-12-02T11:20:45.000Z,2019-10-13T10:54:04.000Z
PI040298AA3I006690,25.852,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_f2ncka70,2017-11-22T10:21:25.000Z,2019-10-25T09:58:01.000Z
PI040298AA3I004710,25.855,40.888,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_gy29yjbt,2017-11-24T10:23:24.000Z,2018-06-16T09:57:52.000Z
PI040298AA3I004327,25.853,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5pga25ec,2017-11-23T10:08:07.000Z,2019-05-22T10:06:48.000Z
PI040298AA3I004462,25.851,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_n4xrp1fz,2017-11-15T09:37:54.000Z,2019-10-30T11:33:51.000Z
PI040298AA3J010378,25.851,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_t1st0pjc,2017-11-15T11:03:41.000Z,2019-10-30T11:38:42.000Z
PI040298AA3I002753,25.852,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_abrx9sdz,2017-11-22T10:34:55.000Z,2019-05-22T09:40:20.000Z
PI040298AA3I002834,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_171fw8n6,2017-11-29T11:41:46.000Z,2018-03-03T09:39:11.000Z
PI040298AA3I002346,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_yc2t8y8n,2017-11-24T10:53:24.000Z,2018-03-03T09:20:08.000Z
PI040297AA3L026036,25.852,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_184b3mrn,2017-11-16T10:14:39.000Z,2019-10-30T11:42:52.000Z
PI040298AA3I001292,25.851,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_17phaer1,2017-11-16T10:49:39.000Z,2019-10-30T11:31:29.000Z
PI040298AA3I005202,25.851,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_8gbfyzmp,2017-11-15T10:26:51.000Z,2019-10-30T11:37:20.000Z
PI040298AA3I001157,25.851,40.891,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_br4tnkrw,2017-11-15T10:45:00.000Z,2019-02-21T09:22:57.000Z
PI040298AA3I004976,25.851,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9ggnsrj8,2017-11-16T10:40:52.000Z,2019-10-30T11:30:23.000Z
PI040298AA3K022517,25.852,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7n3gz2bx,2017-11-22T10:07:16.000Z,2019-10-25T09:59:04.000Z
PI040298AA3I001860,25.852,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_6rb2t5pm,2017-12-01T09:15:55.000Z,2019-05-22T10:08:31.000Z
PI040298AA3I001273,25.853,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_q89fa24t,2017-11-23T10:49:15.000Z,2019-05-22T10:12:32.000Z
PI040298AA3I003885,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_eze74yb8,2017-11-30T09:10:50.000Z,2018-03-03T09:54:22.000Z
PI040298AA3I004338,25.861,40.905,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_pcgwsq33,2017-12-02T11:17:24.000Z,2019-09-08T05:12:49.000Z
PI040298AA3I002701,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_566xkgq2,2017-12-02T10:32:25.000Z,2019-05-29T09:57:39.000Z
PI040298AA3I001885,25.852,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_47emqp81,2017-11-22T09:34:16.000Z,2019-10-25T09:48:53.000Z
PI040298AA3I001099,25.853,40.889,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_p4pz2kd5,2017-11-23T11:02:01.000Z,2019-05-04T11:58:04.000Z
PI040298AA3J009723,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_pwvxhaqg,2017-11-24T10:58:06.000Z,2019-05-21T10:08:51.000Z
PI040298AA3I005548,25.855,40.888,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hpx5qr8g,2017-11-24T10:27:13.000Z,2019-05-21T09:54:15.000Z
PI040298AA3I001992,25.855,40.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_4bcqg5xe,2017-11-30T09:07:43.000Z,2018-05-25T08:17:11.000Z
PI040298AD5I207958,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_h66n22bp,2018-10-12T09:56:35.000Z,2018-11-17T12:25:04.000Z
PI040298AD5I214040,19.446,47.343,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5nrha8hq,2018-10-12T07:43:14.000Z,2019-03-23T14:20:42.000Z
PI040307AD5G200980,19.446,47.343,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_6mgxqq03,2018-10-12T07:59:24.000Z,2019-03-23T14:24:36.000Z
PI040307AD5G201267,19.658,46.916,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_mxncbk23,2018-10-13T15:20:48.000Z,2019-08-31T06:37:11.000Z
PI040297AA3I001108,19.813,48.004,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_mnz0tndr,2018-10-31T14:38:01.000Z,2018-10-31T15:23:01.000Z
"PI040297AD5I207966. FuturePractice:,Id:347,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:47.4418449,Longitude:17.0707378,ParcelSize:,Photos:,SensorId:MIS_JJ_F2FB,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-07T10:35:15.285008+00:",17.071,46.442,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5njqj6y5,2018-10-07T10:21:28.000Z,2018-10-17T10:21:28.000Z
"PI040297AD5J211010. FuturePractice:,Id:401,LandCoverOverlay:,LandCoverTypes:[Additional:[Other broad leaved and coniferous trees],Cover:51-75%,Id:4054,Name:Trees,Additional:[Other shrubs],Cover:11-25%,Id:4055,Name:Shrubs,Additional:[],Cover:51-75%,Id:4057,Name:Other ground covering plants (weeds, grasses)],LandManagement:,LandUseArea:Remote wild,LandUseSpot:Forest,Latitude:47.5160332,Longitude:21.8342762,ParcelSize:1  5 ha,Photos:,SensorId:MIS_RS_4184,SensorMissionManagement:false,SensorOnMulchedGround:false,SensorOvergrown:false,SensorShadedByTrees:true,SlopeAspect:,SlopePosition:Flat,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-11-01T12:36:57.703195+00:",0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_404yzq2w,2018-10-07T09:21:33.000Z,2018-11-01T12:06:33.000Z
PI040297AD5I209798,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_wdqdrf54,2018-09-15T13:55:51.000Z,2018-11-01T15:23:21.000Z
PI040297AD5I207917,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_61ej8g25,2018-09-09T12:27:54.000Z,2018-12-14T11:22:41.000Z
PI040307AD5I204031,19.689,46.908,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7nppcjmq,2018-10-13T14:07:40.000Z,2018-11-03T13:52:33.000Z
PI040307AD5I203988,20.01,46.802,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5w3rq40p,2018-10-13T15:59:25.000Z,2018-11-03T13:59:18.000Z
"PI040297AA3I001108. FuturePractice:,Id:399,LandCoverOverlay:,LandCoverTypes:[Additional:[Other broad leaved and coniferous trees],Cover:> 91%,Id:4054,Name:Trees,Additional:[],Cover:51-75%,Id:4057,Name:Other ground covering plants (weeds, grasses)],LandManagement:,LandUseArea:Cultivated, agricultural land,LandUseSpot:Field or grazing pasture,Latitude:48.0040665,Longitude:19.8132153,ParcelSize:0.01  0.5 ha,Photos:,SensorId:MIS_VK_3E45,SensorMissionManagement:false,SensorOnMulchedGround:false,SensorOvergrown:false,SensorShadedByTrees:true,SlopeAspect:DNY,SlopePosition:Shoulder,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-31T15:02:06.762427+00:",19.813,48.004,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_90txvzz4,2018-10-31T15:37:56.000Z,2018-11-02T12:22:56.000Z
PI040298AD5I211919,6.016,49.737,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_p9735r53,2018-10-25T15:29:52.000Z,2018-11-12T09:44:31.000Z
PI040298AD5I212330,6.015,49.737,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_wtx1vjgy,2018-10-25T15:34:49.000Z,2019-02-21T13:29:05.000Z
"PI040298AD5I212814. FuturePractice:,Id:686,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:LUX_EB_mures,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2019-05-05T16:57:37.71114+00:",6.016,49.737,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7c5x2q8j,2018-10-25T15:25:54.000Z,2019-05-14T14:39:24.000Z
PI040298AD5I213365,6.016,49.737,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_v0nv2mw0,2018-10-25T15:14:35.000Z,2019-05-14T14:50:09.000Z
"PI040298AD5I212857. FuturePractice:,Id:687,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:LUX_EB_tomates,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2019-05-05T17:00:44.227165+00:",6.016,49.737,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ktd6z6s1,2018-10-25T15:09:08.000Z,2019-08-16T16:41:52.000Z
PI040297AD5J210282,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ff33b2az,2017-11-11T09:27:22.000Z,2018-11-02T18:39:08.000Z
PI040297AA4C035988,21.407,47.906,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_eh4wvmag,2018-10-28T08:30:31.000Z,2019-02-17T11:10:30.000Z
"PI040297AD5J211055. FuturePractice:,Id:460,LandCoverOverlay:,LandCoverTypes:[Additional:[Fruit and nut trees (incl. olives)],Cover:11-25%,Id:4054,Name:Trees,Additional:[Fruiting shrubs (incl. grapevines)],Cover:26-50%,Id:4055,Name:Shrubs],LandManagement:,LandUseArea:Urban central,LandUseSpot:Orchard,Latitude:48.2112,Longitude:22.6421642,ParcelSize:501  1000 sqm,Photos:,SensorId:MIS_BELA_E7F0,SensorMissionManagement:false,SensorOnMulchedGround:false,SensorOvergrown:false,SensorShadedByTrees:false,SlopeAspect:,SlopePosition:Flat,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-12-14T14:46:40.626966+00:",22.642,48.211,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hqqykest,2018-11-05T19:20:14.000Z,2018-11-11T14:35:01.000Z
PI040307AD5G201348,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rx3skxyj,2018-10-17T08:28:42.000Z,2019-04-17T09:21:34.000Z
PI040298AA3J019633,20.59,47.866,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_2was5fj4,2018-10-04T12:50:43.000Z,2019-02-28T07:06:05.000Z
PI040307AD5I204847,19.188,47.853,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_sp5tqrb9,2018-10-12T14:07:19.000Z,2019-01-11T15:49:51.000Z
PI040307AD5I203666,19.188,47.853,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_3en666z5,2018-10-12T14:06:41.000Z,2019-05-27T17:44:07.000Z
PI040307AD5G200226,20.627,47.845,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_x5px6dsm,2018-10-17T13:38:49.000Z,2019-08-13T12:33:30.000Z
PI040307AD5G201865,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_htv21p9r,2018-11-13T04:23:24.000Z,2019-06-05T06:16:15.000Z
PI040307AD5I203905,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hsj9vdd0,2018-11-13T04:31:32.000Z,2019-06-05T06:05:30.000Z
PI040298AD5I210834,5.915,49.642,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_w6h06hc7,2018-11-12T22:17:56.000Z,2019-08-18T15:35:17.000Z
PI040297AD5I209989,21.719,47.965,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_gkyaa4we,2018-10-10T14:25:04.000Z,2018-11-13T08:08:14.000Z
PI040297AD5J211149,21.719,47.965,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_bx07kff6,2018-10-10T14:10:22.000Z,2018-11-13T08:09:00.000Z
PI040297AD5J210736,21.719,47.965,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fc29axsm,2018-10-11T14:01:45.000Z,2018-10-29T07:45:59.000Z
PI040297AD5J211128,19.13,47.781,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_vs2h19c9,2018-10-29T15:47:41.000Z,2019-10-20T13:19:37.000Z
